time [s],yaw [rad],pitch [rad],roll [rad]
0,3.88E-16,-1.96E-17,0.00E+00
1,4.54E-03,4.50E-03,1.02E-05
2,8.26E-03,8.12E-03,3.36E-05
3,1.13E-02,1.10E-02,6.20E-05
4,1.37E-02,1.33E-02,9.09E-05
5,1.56E-02,1.50E-02,1.17E-04
6,1.70E-02,1.64E-02,1.40E-04
7,1.81E-02,1.74E-02,1.57E-04
8,1.89E-02,1.81E-02,1.71E-04
9,1.94E-02,1.86E-02,1.80E-04
10,1.96E-02,1.89E-02,1.85E-04
11,1.97E-02,1.90E-02,1.87E-04
12,1.96E-02,1.89E-02,1.86E-04
13,1.94E-02,1.88E-02,1.83E-04
14,1.92E-02,1.86E-02,1.78E-04
15,1.88E-02,1.83E-02,1.72E-04
16,1.84E-02,1.79E-02,1.64E-04
17,1.79E-02,1.75E-02,1.56E-04
18,1.74E-02,1.70E-02,1.48E-04
19,1.69E-02,1.65E-02,1.40E-04
20,1.63E-02,1.60E-02,1.31E-04
21,1.58E-02,1.55E-02,1.22E-04
22,1.53E-02,1.50E-02,1.14E-04
23,1.47E-02,1.44E-02,1.06E-04
24,1.42E-02,1.39E-02,9.86E-05
25,1.37E-02,1.34E-02,9.13E-05
26,1.31E-02,1.28E-02,8.44E-05
27,1.26E-02,1.23E-02,7.79E-05
28,1.22E-02,1.18E-02,7.19E-05
29,1.17E-02,1.13E-02,6.62E-05
30,1.13E-02,1.08E-02,6.09E-05
31,1.08E-02,1.03E-02,5.60E-05
32,1.04E-02,9.85E-03,5.14E-05
33,1.00E-02,9.39E-03,4.72E-05
34,9.67E-03,8.93E-03,4.32E-05
35,9.31E-03,8.49E-03,3.95E-05
36,8.97E-03,8.06E-03,3.61E-05
37,8.64E-03,7.63E-03,3.30E-05
38,8.33E-03,7.22E-03,3.01E-05
39,8.03E-03,6.82E-03,2.74E-05
40,7.75E-03,6.44E-03,2.49E-05
41,7.47E-03,6.06E-03,2.26E-05
42,7.21E-03,5.70E-03,2.06E-05
43,6.97E-03,5.35E-03,1.86E-05
44,6.74E-03,5.01E-03,1.69E-05
45,6.52E-03,4.68E-03,1.53E-05
46,6.31E-03,4.37E-03,1.38E-05
47,6.11E-03,4.06E-03,1.24E-05
48,5.91E-03,3.76E-03,1.11E-05
49,5.72E-03,3.46E-03,9.89E-06
50,5.54E-03,3.17E-03,8.79E-06
51,5.37E-03,2.89E-03,7.78E-06
52,5.21E-03,2.63E-03,6.85E-06
53,5.06E-03,2.37E-03,6.00E-06
54,4.92E-03,2.12E-03,5.21E-06
55,4.78E-03,1.87E-03,4.47E-06
56,4.65E-03,1.63E-03,3.79E-06
57,4.53E-03,1.40E-03,3.17E-06
58,4.42E-03,1.17E-03,2.58E-06
59,4.31E-03,9.44E-04,2.03E-06
60,4.20E-03,7.24E-04,1.52E-06
61,4.10E-03,5.10E-04,1.05E-06
62,3.96E-03,3.35E-04,6.64E-07
63,3.75E-03,2.08E-04,3.90E-07
64,3.50E-03,1.13E-04,1.97E-07
65,3.20E-03,4.75E-05,7.61E-08
66,2.89E-03,6.53E-07,9.43E-10
67,2.56E-03,-3.50E-05,-4.49E-08
68,2.23E-03,-6.49E-05,-7.24E-08
69,1.93E-03,-1.05E-04,-1.02E-07
70,1.66E-03,-1.59E-04,-1.32E-07
71,1.01E-03,-3.62E-05,-1.82E-08
72,-3.00E-04,-1.12E-07,1.68E-11
73,-1.11E-03,3.86E-06,-2.15E-09
74,-1.16E-03,4.78E-06,-2.77E-09
75,-4.37E-04,-1.37E-07,2.99E-11
76,5.61E-04,-1.96E-05,-5.51E-09
77,8.24E-04,6.55E-06,2.70E-09
78,3.21E-04,3.11E-05,5.00E-09
79,-4.56E-04,-1.01E-05,2.31E-09
80,-4.96E-04,8.69E-07,-2.16E-10
81,1.08E-04,-1.75E-05,-9.44E-10
82,2.22E-04,-5.65E-06,-6.28E-10
83,-1.54E-04,6.83E-06,-5.26E-10
84,8.41E-05,1.80E-05,7.59E-10
85,4.64E-05,-1.27E-05,-2.94E-10
86,8.23E-06,3.16E-06,1.30E-11
87,-6.02E-06,1.33E-05,-3.99E-11
88,1.11E-05,-1.60E-05,-8.92E-11
89,2.63E-07,-1.46E-05,-1.92E-12
90,2.11E-06,-2.53E-05,-2.67E-11
91,-1.95E-05,2.01E-05,-1.96E-10
92,4.11E-06,-1.79E-07,-3.68E-13
93,2.88E-05,-1.54E-05,-2.22E-10
94,-1.96E-05,8.18E-06,-8.01E-11
95,-1.13E-05,1.79E-06,-1.02E-11
96,-2.93E-05,1.74E-06,-2.55E-11
97,-5.60E-07,1.30E-05,-3.64E-12
98,-2.38E-05,-1.17E-05,1.40E-10
99,4.15E-05,3.83E-05,7.94E-10
100,-4.62E-05,9.14E-06,-2.11E-10
101,-1.14E-05,-1.52E-06,8.68E-12
102,6.29E-06,-4.73E-07,-1.49E-12
103,-2.23E-06,-6.60E-06,7.35E-12
104,8.46E-06,-3.75E-06,-1.59E-11
105,-3.65E-06,-2.71E-06,4.95E-12
106,-1.23E-05,-1.41E-05,8.72E-11
107,-1.25E-05,-2.49E-07,1.56E-12
108,-1.88E-06,-1.09E-06,1.02E-12
109,-4.08E-06,-2.30E-05,4.70E-11
110,4.55E-05,2.21E-07,5.03E-12
111,1.76E-05,-7.36E-06,-6.47E-11
112,8.04E-06,9.47E-06,3.81E-11
113,6.16E-06,9.74E-06,3.00E-11
114,4.67E-06,-1.19E-05,-2.78E-11
115,3.73E-06,-1.41E-05,-2.63E-11
116,5.52E-06,1.04E-05,2.86E-11
117,-1.75E-05,-1.21E-05,1.06E-10
118,-5.27E-06,7.78E-06,-2.05E-11
119,-3.67E-05,1.23E-05,-2.26E-10
120,-4.01E-06,-5.40E-06,1.08E-11
121,3.76E-05,1.41E-05,2.64E-10
122,-1.27E-05,1.64E-05,-1.04E-10
123,-1.01E-05,-1.22E-05,6.17E-11
124,-1.93E-05,2.10E-06,-2.03E-11
125,-2.65E-05,1.02E-05,-1.35E-10
126,-1.72E-05,-1.53E-07,1.32E-12
127,5.11E-05,-2.78E-07,-7.10E-12
128,-3.29E-05,6.35E-06,-1.04E-10
129,-9.52E-06,5.89E-06,-2.80E-11
130,-8.53E-07,2.53E-06,-1.08E-12
131,1.30E-05,-1.16E-06,-7.56E-12
132,7.68E-06,-1.34E-05,-5.16E-11
133,-2.12E-05,3.29E-06,-3.49E-11
134,-3.12E-05,-1.33E-05,2.08E-10
135,8.11E-06,-1.06E-05,-4.31E-11
136,2.76E-06,2.22E-05,3.06E-11
137,1.44E-05,9.17E-06,6.59E-11
138,-2.99E-06,-4.04E-06,6.03E-12
139,-1.67E-05,1.98E-05,-1.65E-10
140,7.30E-07,7.45E-07,2.72E-13
141,1.85E-05,1.95E-05,1.80E-10
142,4.85E-06,4.39E-06,1.06E-11
143,-2.19E-05,-7.27E-06,7.95E-11
144,1.03E-05,-8.34E-07,-4.30E-12
145,-8.25E-06,-1.49E-06,6.16E-12
146,-2.87E-05,3.19E-06,-4.58E-11
147,1.22E-07,-5.66E-08,-3.47E-15
148,-2.67E-05,-1.93E-05,2.58E-10
149,8.18E-06,-6.54E-06,-2.67E-11
150,-6.00E-06,2.40E-06,-7.20E-12
151,-2.75E-06,1.01E-05,-1.38E-11
152,9.90E-06,-1.29E-05,-6.40E-11
153,4.58E-06,-1.39E-05,-3.17E-11
154,-1.29E-05,4.65E-05,-2.99E-10
155,3.27E-05,-1.58E-05,-2.58E-10
156,-2.89E-05,3.00E-06,-4.33E-11
157,8.10E-07,2.54E-06,1.03E-12
158,1.41E-06,-1.41E-05,-9.95E-12
159,2.01E-06,2.08E-05,2.08E-11
160,2.69E-06,5.55E-06,7.47E-12
161,-3.18E-07,4.23E-06,-6.74E-13
162,-3.99E-06,-6.49E-06,1.30E-11
163,2.54E-06,9.07E-06,1.15E-11
164,-2.77E-05,-7.49E-06,1.04E-10
165,-9.69E-06,5.83E-06,-2.83E-11
166,-4.00E-06,2.01E-05,-4.02E-11
167,-1.02E-05,6.73E-06,-3.42E-11
168,4.57E-06,1.12E-05,2.56E-11
169,3.59E-06,-1.61E-05,-2.89E-11
170,9.34E-06,1.83E-05,8.55E-11
171,-4.37E-06,6.43E-06,-1.40E-11
172,2.69E-05,4.08E-06,5.50E-11
173,1.14E-05,1.54E-06,8.74E-12
174,-3.82E-06,2.71E-05,-5.18E-11
175,-2.57E-07,-9.11E-06,1.17E-12
176,-9.63E-06,2.36E-05,-1.14E-10
177,4.79E-06,1.32E-06,3.16E-12
178,-5.88E-06,9.74E-06,-2.86E-11
